data_id,data_name,qualified_data_name
1,'cassette_id','[cassette_id]'
2,'sample_score_cutoff','[sample_score_cutoff]'
3,'data_redundancy','[data_redundancy]'
4,'sample_spreadsheet','[sample_spreadsheet]'
5,'calibration_image','[calibration_image]'
6,'corrected_image','[corrected_image]'
7,'run_log','[run_log]'
8,'collection_log','[collection_log]'
9,'rejection_log','[rejection_log]'
10,'cassette_id','simulate_data_collection[cassette_id]'
11,'sample_score_cutoff','simulate_data_collection[sample_score_cutoff]'
12,'run_log','simulate_data_collection[run_log]'
13,'sample_spreadsheet','simulate_data_collection[sample_spreadsheet]'
14,'sample_name','simulate_data_collection[sample_name]'
15,'sample_quality','simulate_data_collection[sample_quality]'
16,'data_redundancy','simulate_data_collection[data_redundancy]'
17,'accepted_sample','simulate_data_collection[accepted_sample]'
18,'rejected_sample','simulate_data_collection[rejected_sample]'
19,'num_images','simulate_data_collection[num_images]'
20,'energies','simulate_data_collection[energies]'
21,'rejection_log','simulate_data_collection[rejection_log]'
22,'sample_id','simulate_data_collection[sample_id]'
23,'energy','simulate_data_collection[energy]'
24,'frame_number','simulate_data_collection[frame_number]'
25,'raw_image','simulate_data_collection[raw_image]'
26,'calibration_image','simulate_data_collection[calibration_image]'
27,'corrected_image','simulate_data_collection[corrected_image]'
28,'corrected_image_path','simulate_data_collection[corrected_image_path]'
29,'total_intensity','simulate_data_collection[total_intensity]'
30,'pixel_count','simulate_data_collection[pixel_count]'
31,'collection_log','simulate_data_collection[collection_log]'
